experiment_cohort,day_of_experiment,device_type,gender,region,age,total_artists_last_100_days,minutes_listening_during_experiment,user_id
treatment,10,desktop,M,northeast,28.2,64,174.9,479484098
control,10,desktop,M,northeast,21.6,148,128,511144862
control,10,desktop,M,northeast,37.8,106,124.1,190617268
control,10,desktop,M,northeast,49,57,120.5,350648831
control,10,desktop,M,northeast,29.2,23,142.9,580770179
control,10,desktop,M,northeast,25.4,101,90.5,300845724
control,11,desktop,M,northeast,51.3,114,116.9,281821737
control,11,desktop,M,northeast,27.8,157,101.4,661846606
control,11,desktop,M,northeast,37,31,104.5,128170259
control,11,desktop,M,northeast,44.7,94,87.4,569574091
control,11,desktop,M,northeast,46.2,54,100,632967206
treatment,12,desktop,M,northeast,33.3,76,115.7,674444391
control,12,desktop,M,northeast,45.3,75,142.5,488866274
control,12,desktop,M,northeast,38.8,61,128.7,582362103
treatment,14,desktop,M,northeast,19,26,233.4,633615247
treatment,14,desktop,M,northeast,21.2,104,144.8,195645288
control,14,desktop,M,northeast,31.1,146,139,436474021
control,14,desktop,M,northeast,21.4,21,160.3,141548274
control,14,desktop,M,northeast,34.8,46,113.5,315133798
control,15,desktop,M,northeast,31.6,86,108.9,113390681
control,15,desktop,M,northeast,25,69,147.5,625627832
control,15,desktop,M,northeast,29.8,145,121.5,498273105
control,17,desktop,M,northeast,23.6,48,137.3,627561787
control,17,desktop,M,northeast,33.1,40,120.7,657615736
control,18,desktop,M,northeast,27.8,148,124.2,349711167
control,18,desktop,M,northeast,24.7,163,101.5,317247156
control,18,desktop,M,northeast,39.1,29,148.4,476471874
control,18,desktop,M,northeast,28.9,87,128.3,311193016
control,19,desktop,M,northeast,36.5,61,141,603711631
control,19,desktop,M,northeast,19.7,142,125.1,645281720
control,20,desktop,M,northeast,41.6,31,124.7,338198304
control,20,desktop,M,northeast,27.8,71,127.7,626782966
treatment,21,desktop,M,northeast,24.2,99,109.3,521212864
control,21,desktop,M,northeast,52.9,40,101.4,467856761
control,21,desktop,M,northeast,44,75,108.1,300453459
control,21,desktop,M,northeast,28.9,131,123.3,541329553
control,21,desktop,M,northeast,34.3,116,114.6,320481001
control,21,desktop,M,northeast,24.7,81,142,165419136
control,21,desktop,M,northeast,26.9,62,126,204838417
control,21,desktop,M,northeast,23.3,36,151.5,614032205
control,21,desktop,M,northeast,34.6,103,111.4,240418471
control,22,desktop,M,northeast,33.8,115,154.6,275921270
control,23,desktop,M,northeast,27.7,89,130.5,190441032
control,23,desktop,M,northeast,27,62,117.7,135268492
treatment,24,desktop,M,northeast,18.7,37,157.8,629871979
control,24,desktop,M,northeast,48.9,97,157.5,275498490
control,24,desktop,M,northeast,43.5,108,110.1,144404509
control,24,desktop,M,northeast,30.1,65,127.8,638354718
control,25,desktop,M,northeast,18.9,32,150.7,313809394
control,25,desktop,M,northeast,23.2,13,132.4,415800830
control,25,desktop,M,northeast,21.4,86,123.3,163926653
control,25,desktop,M,northeast,39.4,135,156.7,562216060
control,26,desktop,M,northeast,23.6,63,128.8,429735592
control,26,desktop,M,northeast,23.2,36,136.5,313476187
control,26,desktop,M,northeast,33.2,59,127.7,599476345
control,27,desktop,M,northeast,20.2,40,113.4,541462442
control,27,desktop,M,northeast,34.2,73,100.1,630120694
control,28,desktop,M,northeast,20.3,119,114.5,669666636
control,28,desktop,M,northeast,27.4,154,108.6,74314544
control,28,desktop,M,northeast,51.7,43,113.1,240989998
control,1,desktop,M,west,26.9,52,132.8,625712925
control,1,desktop,M,west,34.2,105,123.8,137015795
control,1,desktop,M,west,28.3,58,127.5,263235156
control,1,desktop,M,west,40.2,115,109.3,275288239
control,1,desktop,M,west,30.9,26,112.3,123449898
treatment,2,desktop,M,west,40,53,125.1,82682591
control,2,desktop,M,west,18.4,31,107,184370935
control,2,desktop,M,west,42.2,76,116.7,178565028
treatment,3,desktop,M,west,28.5,86,198.7,556381669
control,3,desktop,M,west,25.3,83,120.9,335357175
control,3,desktop,M,west,21.8,34,116.1,238005435
control,3,desktop,M,west,25.7,104,111.1,101994552
treatment,4,desktop,M,west,29.5,109,183.6,73909173
control,4,desktop,M,west,39.4,121,143.8,455388200
control,5,desktop,M,west,18,55,108.5,87361553
control,5,desktop,M,west,24.3,79,108.9,504095894
control,5,desktop,M,west,36.2,95,130.7,647592295
control,5,desktop,M,west,29.7,124,102.9,654036224
control,6,desktop,M,west,29.3,137,127.6,118811467
control,7,desktop,M,west,42.9,91,131.6,337141736
treatment,8,desktop,M,west,34.7,46,105.7,379327814
control,8,desktop,M,west,36.2,95,146.9,533361998
control,8,desktop,M,west,31.7,58,100.6,107212780
control,8,desktop,M,west,43.1,78,135,345472818
control,8,desktop,M,west,35.8,92,123.5,86796789
control,8,desktop,M,west,33.1,29,121.9,609773179
control,9,desktop,M,west,34.7,34,141.3,690132036
control,9,desktop,M,west,44.1,163,119.6,302935590
control,10,desktop,M,west,20.7,113,92.1,402573036
control,10,desktop,M,west,28.4,51,123.1,74938546
control,10,desktop,M,west,49.2,63,109.1,562025073
control,10,desktop,M,west,55.9,92,127,240738026
treatment,11,desktop,M,west,22.1,78,115.1,160225140
control,11,desktop,M,west,25.2,86,116.7,512317191
control,11,desktop,M,west,21.4,85,137.7,621883901
control,12,desktop,M,west,19.6,229,138.7,141764439
control,12,desktop,M,west,45.1,42,121.2,550406985
control,12,desktop,M,west,26.9,134,110.3,252381915
control,13,desktop,M,west,38.2,83,121.4,72736171
treatment,14,desktop,M,west,24.3,119,172,372654847
control,14,desktop,M,west,40.5,56,112.2,371204497
control,14,desktop,M,west,26.5,91,135.4,279631611
control,14,desktop,M,west,32.8,57,126,208638577
treatment,15,desktop,M,west,34.2,88,149.4,387944106
treatment,15,desktop,M,west,31.5,137,90.9,123914138
control,15,desktop,M,west,19.7,48,127,618752623
control,15,desktop,M,west,28,66,120.2,632735857
control,16,desktop,M,west,30.8,107,111.3,643179949
control,16,desktop,M,west,38.4,79,103.3,113610215
control,16,desktop,M,west,30.9,165,114.9,530632142
treatment,17,desktop,M,west,18.2,95,191.3,620926719
treatment,17,desktop,M,west,25.6,59,180,692764447
treatment,17,desktop,M,west,30.8,34,221.6,331608060
control,17,desktop,M,west,35.9,68,116.1,183931241
control,17,desktop,M,west,30.6,105,131.6,203808851
control,17,desktop,M,west,35.6,154,120.9,116456718
control,17,desktop,M,west,34.7,27,111.8,356938253
control,17,desktop,M,west,35.4,49,129.1,246320315
control,17,desktop,M,west,23.3,30,133.6,683330419
control,18,desktop,M,west,27.4,46,133.6,479357745
control,18,desktop,M,west,25.1,76,114.2,484524545
control,18,desktop,M,west,31.1,72,108.1,359100831
control,18,desktop,M,west,20.1,51,148.2,244716351
control,20,desktop,M,west,40.9,143,133.3,395407421
control,20,desktop,M,west,19.2,161,124.8,119716997
control,20,desktop,M,west,37.7,109,107.1,312456628
control,21,desktop,M,west,40.8,24,113.3,349191500
control,21,desktop,M,west,19.5,81,137.3,123697535
control,22,desktop,M,west,28.9,60,117.2,251141330
control,22,desktop,M,west,18.1,55,118.5,444468040
treatment,23,desktop,M,west,40.4,71,201.5,156288685
control,23,desktop,M,west,22.6,87,127.3,672025257
control,24,desktop,M,west,33.4,35,125.1,298337286
control,24,desktop,M,west,41.8,35,123.7,132794046
control,24,desktop,M,west,41.1,81,97.9,440814861
control,24,desktop,M,west,32.2,62,113,288763179
control,24,desktop,M,west,27.1,170,128.9,182519179
control,24,desktop,M,west,32.5,43,119.1,271798703
treatment,25,desktop,M,west,26.4,39,207,100723182
treatment,25,desktop,M,west,43.2,146,108,94829936
control,25,desktop,M,west,19.3,51,136.7,450708945
control,25,desktop,M,west,22.5,56,129.3,347025957
control,25,desktop,M,west,27.5,128,125.2,101064157
control,25,desktop,M,west,26.1,149,148.5,427261787
control,26,desktop,M,west,37,65,111.6,705374174
treatment,28,desktop,M,west,21,30,135.2,402517390
control,28,desktop,M,west,19.9,86,113.4,199725771
control,28,desktop,M,west,27.2,53,130.7,569957963
control,28,desktop,M,west,26.9,118,101.3,518187712
treatment,1,desktop,M,south,29.2,70,142.9,187954685
control,1,desktop,M,south,29.7,71,119,187123320
control,1,desktop,M,south,21.3,36,125.1,369904451
control,2,desktop,M,south,48.9,138,108.2,317862764
control,2,desktop,M,south,26.3,162,112.9,229159160
control,2,desktop,M,south,33.7,94,122.3,430192255
control,2,desktop,M,south,26,25,133,479374833
control,3,desktop,M,south,26.5,121,137.5,549405667
control,3,desktop,M,south,20.5,31,125.2,275272774
control,3,desktop,M,south,33,90,114.1,406369075
control,3,desktop,M,south,21.9,164,126.6,305603339
control,3,desktop,M,south,40.9,36,127.1,565288043
control,3,desktop,M,south,24.6,68,123,611416255
control,4,desktop,M,south,22.8,165,102.1,380587802
control,4,desktop,M,south,37.1,55,132.6,321574553
control,4,desktop,M,south,21.4,63,150.8,108931752
control,5,desktop,M,south,41,112,98.2,631166360
control,5,desktop,M,south,24.5,72,143.7,657031778
treatment,6,desktop,M,south,22.9,64,139.4,677219377
treatment,6,desktop,M,south,19,137,115.2,247180025
control,6,desktop,M,south,36.3,62,144.9,632532264
control,6,desktop,M,south,21.7,168,122.6,517700593
control,6,desktop,M,south,28.1,200,94.2,122690088
control,6,desktop,M,south,38.7,91,128.2,397943878
treatment,8,desktop,M,south,18.7,90,216.2,73285114
treatment,8,desktop,M,south,19.9,66,206.4,220853339
control,8,desktop,M,south,26.1,63,109.4,514786069
control,9,desktop,M,south,23.6,21,157.1,662631968
control,9,desktop,M,south,21.8,19,133.3,466297765
control,9,desktop,M,south,20,17,117.4,248504007
treatment,11,desktop,M,south,18.9,38,185.6,286449711
control,11,desktop,M,south,34.5,45,135.7,229262094
control,11,desktop,M,south,24.8,88,135.3,630550978
control,11,desktop,M,south,24.7,76,95.9,553067783
control,11,desktop,M,south,31.1,56,124.1,355018029
control,12,desktop,M,south,28.5,107,98,165528923
control,12,desktop,M,south,25.1,71,110.8,668001526
control,12,desktop,M,south,31.2,43,140.8,540061601
control,13,desktop,M,south,33.6,112,152.3,585426032
control,13,desktop,M,south,26.5,139,144,650111477
control,13,desktop,M,south,29.1,122,136.3,180338134
control,13,desktop,M,south,29.5,80,110.1,229763608
control,13,desktop,M,south,25.6,103,118.5,149527071
control,13,desktop,M,south,21.4,152,142.3,246322275
control,13,desktop,M,south,26.9,75,135.8,398685410
control,14,desktop,M,south,34.8,24,127.3,367053567
control,14,desktop,M,south,38.4,112,125.6,203868161
control,14,desktop,M,south,19.7,201,117.9,593098967
control,14,desktop,M,south,32.8,89,108,346450878
control,14,desktop,M,south,40.9,96,93.5,543862646
treatment,15,desktop,M,south,21.2,50,100,393426147
control,15,desktop,M,south,31,64,98.8,417710003
control,15,desktop,M,south,19.4,108,135.4,300699776
control,16,desktop,M,south,29.2,111,110.2,594488307
control,16,desktop,M,south,38.1,96,127.4,243336923
control,17,desktop,M,south,33.9,58,198.7,171869065
control,17,desktop,M,south,23.7,59,113.1,408591012
control,17,desktop,M,south,30.1,108,125.7,573800725
control,17,desktop,M,south,34.5,67,110.4,405246963
control,18,desktop,M,south,44.3,35,139.9,218145903
control,18,desktop,M,south,37.2,66,133.2,624404096
control,18,desktop,M,south,20.9,61,139.6,385603446
treatment,19,desktop,M,south,26,58,118.3,675394687
treatment,19,desktop,M,south,27.1,49,138.3,533470060
control,19,desktop,M,south,29.6,157,137.2,559812524
control,19,desktop,M,south,25.9,133,130.5,659127167
control,19,desktop,M,south,28.3,99,111.8,507099623
control,20,desktop,M,south,20.3,67,127.9,236410339
treatment,21,desktop,M,south,24.7,77,215.9,676958628
control,21,desktop,M,south,19,71,112.2,653791309
control,21,desktop,M,south,23.3,57,116.1,603385790
treatment,22,desktop,M,south,27.4,47,106.6,112997098
control,23,desktop,M,south,45.5,41,133.2,638223908
control,23,desktop,M,south,26.1,85,154.1,709488764
control,23,desktop,M,south,52.3,59,120.1,612269832
control,23,desktop,M,south,32.4,83,120,380803825
control,24,desktop,M,south,20.8,173,115.8,709614501
control,24,desktop,M,south,39.7,41,122.5,607491598
control,25,desktop,M,south,22.8,69,130.5,113587576
control,25,desktop,M,south,30,28,116.8,380067024
control,26,desktop,M,south,24,77,115.4,688806509
control,27,desktop,M,south,32,123,128.2,578854185
control,27,desktop,M,south,34.7,42,111.8,421171900
control,27,desktop,M,south,47.3,71,115.6,617467322
control,27,desktop,M,south,38.6,56,145.2,549834100
control,27,desktop,M,south,28.7,74,138.5,265916265
control,28,desktop,M,south,18.4,67,125.8,361569680
control,2,desktop,M,midwest,35.5,57,137.1,151826189
control,2,desktop,M,midwest,47.6,98,112.1,229738907
control,4,desktop,M,midwest,25.9,80,132.7,491212691
control,5,desktop,M,midwest,27,125,117.7,199307807
control,5,desktop,M,midwest,21.7,85,125.8,459159457
control,6,desktop,M,midwest,31.4,103,129.6,498516450
control,6,desktop,M,midwest,23.9,83,125.8,81744708
treatment,7,desktop,M,midwest,18.6,61,126.7,376638324
control,7,desktop,M,midwest,26.7,78,113.3,522137146
control,7,desktop,M,midwest,28.9,170,129,561322002
control,7,desktop,M,midwest,34.2,107,114.9,288364818
control,8,desktop,M,midwest,26,58,137.5,236711720
control,8,desktop,M,midwest,33.7,38,118.9,414149646
treatment,9,desktop,M,midwest,24.2,52,167,350742870
control,9,desktop,M,midwest,18.4,57,129.5,176592615
control,10,desktop,M,midwest,32.2,52,149.6,705950649
control,10,desktop,M,midwest,23.8,150,127.5,296381208
control,12,desktop,M,midwest,23.3,145,120.8,121561842
control,12,desktop,M,midwest,27.8,68,138.5,219974814
control,13,desktop,M,midwest,23.5,83,134.4,354219347
control,13,desktop,M,midwest,49.7,101,142.5,475826923
control,14,desktop,M,midwest,24.3,78,142.1,428031981
control,14,desktop,M,midwest,50.4,109,123.4,601112644
control,15,desktop,M,midwest,22.3,127,114.7,678212621
control,15,desktop,M,midwest,21.4,94,149.5,537917285
control,15,desktop,M,midwest,19.9,86,109.9,148120983
control,16,desktop,M,midwest,34,93,127.9,172817689
control,16,desktop,M,midwest,28.2,70,105.7,571339601
control,17,desktop,M,midwest,20.5,121,160.1,531496195
control,17,desktop,M,midwest,30.9,139,132.8,262716517
control,17,desktop,M,midwest,23.4,102,122,208702511
treatment,18,desktop,M,midwest,37.5,80,137.2,177741961
control,18,desktop,M,midwest,26.7,71,113.9,395009574
control,18,desktop,M,midwest,34.7,77,116.2,105904060
control,19,desktop,M,midwest,29,52,115,626852916
control,19,desktop,M,midwest,26.1,111,108.2,451949542
control,19,desktop,M,midwest,21.8,66,127.4,153897631
control,19,desktop,M,midwest,27.7,111,115,403290235
control,20,desktop,M,midwest,36.2,105,111.7,216989501
control,20,desktop,M,midwest,24.7,108,126,704659626
control,20,desktop,M,midwest,102,166,133,174385302
control,21,desktop,M,midwest,22.8,124,109.1,610837911
control,21,desktop,M,midwest,43,44,122.7,254717759
control,22,desktop,M,midwest,27.3,84,133.8,399325517
control,23,desktop,M,midwest,19,73,120.4,548493509
control,24,desktop,M,midwest,20.4,82,137,601610271
control,24,desktop,M,midwest,22.2,114,119.7,278484295
control,24,desktop,M,midwest,20.8,89,152.2,534667455
control,24,desktop,M,midwest,30.3,112,131.2,606918414
control,24,desktop,M,midwest,27.8,45,100.6,216671073
control,25,desktop,M,midwest,44.9,97,108.2,396103707
control,26,desktop,M,midwest,24.8,64,120.4,552286146
control,27,desktop,M,midwest,32.2,149,139,698944859
control,27,desktop,M,midwest,35.9,164,124.6,492054560
control,28,desktop,M,midwest,27.5,67,124.5,511273013
treatment,2,desktop,M,northeast,38.4,143,124.4,78751621
treatment,2,desktop,M,northeast,33.4,47,109.5,422564744
control,2,desktop,M,northeast,28.6,70,133,660243750
treatment,3,desktop,M,northeast,20.8,71,192.7,205094756
control,3,desktop,M,northeast,29.3,71,151.2,387083247
control,3,desktop,M,northeast,21.1,46,128.6,462813022
control,3,desktop,M,northeast,27.5,62,134.2,140196184
control,3,desktop,M,northeast,38,118,132.1,282444577
treatment,4,desktop,M,northeast,45.9,87,136.7,601043670
control,4,desktop,M,northeast,31.8,52,126.4,355875552
control,4,desktop,M,northeast,24,145,137.3,386525001
control,4,desktop,M,northeast,38.5,100,144.8,111152519
control,4,desktop,M,northeast,31.5,169,129.3,521110723
control,4,desktop,M,northeast,29.4,136,137.5,337268134
control,4,desktop,M,northeast,49.4,116,127.7,438656574
control,4,desktop,M,northeast,40,56,123.9,479745194
control,4,desktop,M,northeast,29.6,92,140.1,404522943
treatment,5,desktop,M,northeast,39.3,73,110.3,677401925
control,5,desktop,M,northeast,22.8,72,118.6,270351602
control,5,desktop,M,northeast,44.2,30,129.9,412040755
control,5,desktop,M,northeast,28.9,66,125.6,253487879
control,5,desktop,M,northeast,33.7,35,129.6,410539061
control,6,desktop,M,northeast,33.8,65,99.7,636430617
control,6,desktop,M,northeast,36.5,36,127.7,175818344
treatment,7,desktop,M,northeast,28.5,49,185.2,586119713
treatment,7,desktop,M,northeast,34.8,60,124,496716185
control,7,desktop,M,northeast,29.4,40,115.7,274310673
control,7,desktop,M,northeast,19.2,78,134.9,299728948
control,7,desktop,M,northeast,24.7,98,114.6,653851461
control,7,desktop,M,northeast,24.4,76,121.2,264996676
control,8,desktop,M,northeast,34.7,102,101.6,482849982
control,9,desktop,M,northeast,31.1,147,119.9,156324755
control,9,desktop,M,northeast,23.3,74,126.2,382279982
control,9,desktop,M,northeast,26.6,29,122.9,653727629
control,9,desktop,M,northeast,21.5,82,138.3,201637314
control,10,desktop,M,northeast,31.6,161,127.8,464390141
control,10,desktop,M,northeast,28.5,40,98.3,572682743
control,10,desktop,M,northeast,18.5,86,129.8,108048241
treatment,11,desktop,M,northeast,29.5,100,180.4,196697290
control,11,desktop,M,northeast,26.6,26,124.3,695375601
control,11,desktop,M,northeast,31.2,69,111.5,629020198
control,12,desktop,M,northeast,32.9,96,135.8,416326059
control,12,desktop,M,northeast,28.3,39,159,428481173
treatment,13,desktop,M,northeast,25.9,106,110.7,377539375
control,13,desktop,M,northeast,18.3,27,129.9,375352606
control,14,desktop,M,northeast,39.4,42,104.1,374869074
treatment,15,desktop,M,northeast,27.4,71,150.2,485226497
control,15,desktop,M,northeast,23.1,111,119.3,338777293
control,15,desktop,M,northeast,30.2,20,123,189604801
treatment,16,desktop,M,northeast,24.7,144,120.2,308008144
control,17,desktop,M,northeast,20.8,137,122.6,346277791
control,18,desktop,M,northeast,29.7,97,132.6,418731252
control,18,desktop,M,northeast,25.1,80,132.9,77250236
control,18,desktop,M,northeast,21.4,69,105.6,574057970
control,20,desktop,M,northeast,32.7,61,132.5,201377514
control,20,desktop,M,northeast,19.8,161,100.1,596224500
control,21,desktop,M,northeast,18.9,152,134.4,86705733
control,21,desktop,M,northeast,42.4,74,113.7,549361437
control,21,desktop,M,northeast,29.2,87,117.7,448319213
control,21,desktop,M,northeast,20.1,39,135.8,495299749
control,21,desktop,M,northeast,34.5,64,143.1,151451914
treatment,22,desktop,M,northeast,46.3,18,104.1,638030882
control,22,desktop,M,northeast,34.1,29,116.4,233526790
control,22,desktop,M,northeast,75,184,130.3,380651477
control,22,desktop,M,northeast,33.8,91,114.8,610346184
control,22,desktop,M,northeast,43.8,177,144.7,145812970
control,22,desktop,M,northeast,32.6,95,145.9,119922993
treatment,23,desktop,M,northeast,20.9,189,129.3,623070272
control,23,desktop,M,northeast,24.5,174,109.1,318514288
control,23,desktop,M,northeast,28.5,192,122.7,185735751
control,23,desktop,M,northeast,29.2,51,145.6,193169434
control,23,desktop,M,northeast,32.2,72,127.7,676452946
control,23,desktop,M,northeast,36.6,127,115.8,433604257
control,23,desktop,M,northeast,27.2,196,127.9,480009645
control,23,desktop,M,northeast,27.5,92,125.3,225872802
control,24,desktop,M,northeast,35.1,81,139.4,699306505
control,24,desktop,M,northeast,25.7,86,123.4,186553456
treatment,26,desktop,M,northeast,52.9,71,139.7,214706431
control,26,desktop,M,northeast,31.8,98,118.8,601579422
control,26,desktop,M,northeast,41.2,163,103.6,329745096
control,26,desktop,M,northeast,28.4,37,115.7,513096191
control,26,desktop,M,northeast,61.3,123,128.1,619944091
control,27,desktop,M,northeast,18.8,151,120,515818158
control,27,desktop,M,northeast,26.8,129,140.1,333353184
control,27,desktop,M,northeast,22,38,115.5,561521555
control,27,desktop,M,northeast,36.7,87,144.8,86443845
control,27,desktop,M,northeast,21.3,66,125.1,616127626
control,27,desktop,M,northeast,28.8,128,111.9,583613098
control,27,desktop,M,northeast,28.7,144,116.6,484656476
control,28,desktop,M,northeast,38.8,71,96.9,434542662
control,28,desktop,M,northeast,29.9,66,118.7,401367545
control,28,desktop,M,northeast,34.1,39,127.5,549977345
control,1,desktop,M,west,38.9,111,127.3,471382964
control,1,desktop,M,west,29.7,119,119.9,365757908
control,1,desktop,M,west,35.1,99,131.5,526562745
control,1,desktop,M,west,27.3,106,158.3,158450751
treatment,2,desktop,M,west,26.4,46,198.4,148636987
treatment,2,desktop,M,west,20.7,69,124.4,535263282
treatment,2,desktop,M,west,22.9,63,98.6,121491428
control,2,desktop,M,west,21.1,71,134.7,221249891
control,2,desktop,M,west,28,84,155.1,197517465
control,2,desktop,M,west,26.3,85,108.3,686046232
control,2,desktop,M,west,26.7,120,91.2,524447782
control,2,desktop,M,west,20.3,176,125.3,386110560
control,2,desktop,M,west,40.3,35,126.3,659829458
control,3,desktop,M,west,19.9,58,176.5,389903088
control,3,desktop,M,west,31.5,123,136.1,504754456
control,3,desktop,M,west,19.1,111,132.5,417286023
control,4,desktop,M,west,45.3,127,129.5,527192798
control,4,desktop,M,west,19.5,124,126.4,125360571
control,4,desktop,M,west,28.7,62,114.1,240027519
control,4,desktop,M,west,24.1,43,122.4,428783409
control,4,desktop,M,west,28.5,101,152.6,462865413
control,5,desktop,M,west,41.1,69,91.6,538591400
control,5,desktop,M,west,20.5,60,143.3,516132691
control,6,desktop,M,west,34.5,83,127,657836677
control,7,desktop,M,west,41.8,92,109.6,298012535
control,7,desktop,M,west,33.2,166,131.8,652850154
control,7,desktop,M,west,26.8,177,120,270173005
control,7,desktop,M,west,30.1,117,125.3,392588843
control,7,desktop,M,west,19.5,104,134.2,487129484
control,7,desktop,M,west,38.4,61,100.3,208419736
control,8,desktop,M,west,19.1,51,129.9,600810177
control,8,desktop,M,west,36.6,83,125.3,233003064
control,9,desktop,M,west,27.3,78,128.7,235292070
control,9,desktop,M,west,27.5,61,121.4,525179339
control,10,desktop,M,west,25.4,91,181.4,396168367
control,10,desktop,M,west,25.6,51,101.2,699987032
control,10,desktop,M,west,34.5,125,116.5,690467323
treatment,11,desktop,M,west,27.1,56,190.5,610209993
treatment,11,desktop,M,west,40.6,45,128.6,673557320
control,11,desktop,M,west,19.8,75,106.3,216819639
treatment,12,desktop,M,west,18.7,134,136,690802462
control,12,desktop,M,west,19.5,80,138.8,626694612
control,12,desktop,M,west,23.9,70,143.4,359741330
control,12,desktop,M,west,36.5,48,125.1,403389724
control,12,desktop,M,west,22.2,100,126.3,92755293
control,12,desktop,M,west,19.4,52,114.4,205939986
control,13,desktop,M,west,39.4,200,93.8,403331119
control,13,desktop,M,west,40.8,38,125.5,459289241
control,13,desktop,M,west,25.9,255,132.4,163886775
control,14,desktop,M,west,20.5,93,110.6,329884722
control,15,desktop,M,west,25.1,34,126,569532589
control,15,desktop,M,west,26.1,64,150.8,489394017
control,15,desktop,M,west,47.4,77,137.8,116807374
control,16,desktop,M,west,20,41,121.5,302961385
control,16,desktop,M,west,45.3,49,120.5,176375029
control,16,desktop,M,west,20.9,53,130.8,142930002
control,16,desktop,M,west,31.9,111,120.5,702712923
control,17,desktop,M,west,21.3,92,113,416535911
control,17,desktop,M,west,21.5,110,102.3,422478781
control,17,desktop,M,west,26.2,152,125.4,370256702
control,17,desktop,M,west,35.4,36,121.4,621034982
treatment,18,desktop,M,west,18.7,88,106.1,668259793
control,18,desktop,M,west,38.2,82,138.9,432139302
control,19,desktop,M,west,30.6,89,117.3,694306440
control,19,desktop,M,west,22.6,74,120.2,457839424
treatment,20,desktop,M,west,36.6,155,192.1,387359090
treatment,20,desktop,M,west,22.5,76,200.3,307678654
control,20,desktop,M,west,36.6,45,139.9,458604796
control,20,desktop,M,west,21.4,77,124.8,210569096
control,20,desktop,M,west,40,111,146.9,219372640
control,20,desktop,M,west,27.5,85,112.9,685564046
control,20,desktop,M,west,20.9,85,103.4,221356237
control,21,desktop,M,west,20.5,66,155.3,531106513
control,21,desktop,M,west,20.3,60,117.4,647237940
control,21,desktop,M,west,34.6,46,139.4,318868497
control,21,desktop,M,west,18.7,146,136.3,613796821
control,22,desktop,M,west,24.3,52,102.7,595342297
control,22,desktop,M,west,37,45,126.2,531066500
control,22,desktop,M,west,25.9,139,143.5,186590499
control,23,desktop,M,west,33.9,65,117.2,97312846
control,23,desktop,M,west,27.1,103,129.6,275949722
control,23,desktop,M,west,34,192,149.9,363933472
treatment,24,desktop,M,west,18.2,66,110.5,392729469
control,24,desktop,M,west,19.6,73,133.7,657804351
control,24,desktop,M,west,39.5,58,137.5,232672923
control,24,desktop,M,west,24.2,91,136.2,253759851
control,25,desktop,M,west,24.9,51,146.4,272929870
control,25,desktop,M,west,44.7,129,133.4,144211713
treatment,26,desktop,M,west,24.3,121,121.8,660507890
control,26,desktop,M,west,32.8,156,123.2,327120558
control,26,desktop,M,west,29.1,63,123.8,487708443
control,26,desktop,M,west,19.2,97,128.6,248675383
control,27,desktop,M,west,29,96,145.1,194299577
control,27,desktop,M,west,22.9,90,132.5,184998001
control,27,desktop,M,west,37.6,149,133.9,697676975
control,28,desktop,M,west,26,79,89.8,513961418
control,1,desktop,M,south,41.7,87,146.8,566493023
control,1,desktop,M,south,37.4,93,138.6,597847447
control,1,desktop,M,south,37.6,100,125.5,507348807
control,1,desktop,M,south,20.8,87,132.9,704073627
control,1,desktop,M,south,29.5,78,134.4,257262384
control,1,desktop,M,south,19,101,141.3,192951265
control,1,desktop,M,south,51,77,151.8,705596715
control,2,desktop,M,south,25.7,196,135.9,593973615
control,2,desktop,M,south,30.8,110,116,521507516
control,2,desktop,M,south,32.7,111,140.7,235162887
treatment,3,desktop,M,south,25.7,109,140.7,594457530
control,3,desktop,M,south,21.7,73,116.4,521268362
control,3,desktop,M,south,20.3,28,133.5,352826275
control,3,desktop,M,south,22.1,80,108.1,375873335
control,4,desktop,M,south,20.8,88,132.6,629692108
control,4,desktop,M,south,25.7,101,105.3,516169781
control,4,desktop,M,south,22.9,139,125.3,138282243
control,4,desktop,M,south,27.9,126,102.6,237233462
control,5,desktop,M,south,29.9,34,119.1,108111295
control,6,desktop,M,south,34.5,78,111.2,692184973
control,6,desktop,M,south,27.1,160,113.8,454217722
control,6,desktop,M,south,50.6,136,123.7,242694323
control,6,desktop,M,south,29.2,111,130.3,158990134
control,6,desktop,M,south,21.6,137,143.4,318508439
control,7,desktop,M,south,43.9,93,120.5,296176235
control,7,desktop,M,south,44.6,65,108.8,699184981
control,7,desktop,M,south,55.6,141,122.3,350054339
control,7,desktop,M,south,23.8,190,125.3,547089804
control,7,desktop,M,south,18.2,103,135,384876577
control,8,desktop,M,south,28.6,129,130.2,78965611
control,9,desktop,M,south,24.4,37,131.5,417641552
control,9,desktop,M,south,33.8,76,132.9,609768022
control,9,desktop,M,south,31.1,30,124.8,271581847
control,9,desktop,M,south,20.5,121,126.5,282991779
control,10,desktop,M,south,39.6,94,102.5,150017701
control,10,desktop,M,south,31.6,103,107.9,484236077
control,10,desktop,M,south,21.9,30,109.7,346299369
control,10,desktop,M,south,26.3,36,137.6,147314987
control,10,desktop,M,south,31.3,99,127.6,224679982
control,10,desktop,M,south,33.3,74,129.8,699487012
control,11,desktop,M,south,24.6,111,120,406069276
control,11,desktop,M,south,40.9,52,121.5,644361345
control,11,desktop,M,south,35.8,99,130.9,542112373
